IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
8927785;PS-323;;;;;;8,01;8,010;0,000;1978-00;0;;;U.S.S.R.;326;1978-00;3,6;0;  Unknown;9991001;;3,120;180;Daldizel - Khabarovsk;6;Daldizel;6CHNSP18/22;220;4;Oil;1;750;Ukraine;12,00;0,00;0,00;31,00;Distillate Fuel;Residual Fuel;0;Arctia Shipping Oy;Finland;9392;1993-01;0,000;2019-03-05;1993-06;116,000;272005900;Yuzhnyy Port;1398194;1976-00;Oil Engine(s), Geared Drive;0;Yuzhnyy Port;1398194;0;;;0;7,50;Pollution Control Vessel;;Vano Sturua SSZ - USR;USR034046;Yuzhnyy Port;1398194;In Service/Commission;Yuzhnyy Port;1398194;0;1978
8928088;ANIQUE M;;;;;;7,32;7,320;0,000;1977-00;0;9YBX;;United States Of America;0;1997-00;2,13;0;  Unknown;9991001;;0,000;108;General Motors-Detroit Diesel Allison Divn - USA;12;G.M. (Detroit Diesel);12V-71;127;2;Oil;2;;Trinidad & Tobago;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;China Govt;China, People's Republic Of;295;1992-07;0,000;2012-01-11;1992-10;30,800;;Rptd Sold Undisclosed Interest;9991942;1975-00;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Utility Vessel;;Graham;USAB06050;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1977
8928129;TIANJIN I;;;;;;7,38;7,400;7,380;1974-00;0;;;U.S.S.R.;145;1974-00;3,1;0;  Unknown;9991001;;2,000;180;Daldizel - Khabarovsk;6;Daldizel;6CHNSP18/22;220;4;Oil;1;750;Unknown;7,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Tokai University;Japan;2174;1993-01;0,000;2018-10-12;1993-03;87,980;;Semele Management Ltd;5354943;1972-00;Oil Engine(s), Geared Drive;0;Semele Management Ltd;5354943;0;;;0;9,00;Utility Vessel;;Kanonerskiy;USR073052;Semele Management Ltd;5354943;Laid-Up;  Unknown;9991001;0;1974
8928131;LAUK;;;;;;10,00;10,300;10,000;1967-00;0;UBJF2;RS;U.S.S.R.;458;1967-00;2,7;723;  Unknown;9991001;;2,100;180;Daldizel - Khabarovsk;6;Daldizel;6CHSPN18/22;220;4;Oil;2;750;Russia;24,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Germany Govt;Germany;138;1992-11;0,000;2011-12-07;1994-00;28,500;273337810;Magnat LLC;5988148;1965-00;Oil Engine(s), Geared Drive;0;Magnat LLC;5988148;0;;;0;6,30;Hopper, Motor;;Lenina Chkalovsk;USR080050;Magnat LLC;5988148;In Service/Commission;  Unknown;9991001;0;1967
8928143;LAPOMINKA;;;;;;10,00;10,420;10,000;1974-00;0;UFZM;RS;Romania;888;1974-00;4,3;1433;Northern Shipping Co;0555641;;3,600;250;Pervomaydizelmash (PDM) - Pervomaysk;6;Pervomaysk;6CH25/34-2;340;4;Oil;2;;Russia;60,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Kuwait Petroleum Corp;Kuwait;44;1991-09;0,000;2014-04-04;1992-08;17,200;273911200;Northern Shipping Co;0555641;1971-01;Oil Engine(s), Direct Drive;0;Northern Shipping Co;0555641;0;;;0;8,80;Hopper, Motor;;Drobeta-Turnu Severin;RUM003043;Northern Shipping Co;0555641;In Service/Commission;Northern Shipping Co;0555641;0;1974
8928210;MASAL TURKAN;;;;;;10,00;10,420;10,000;1979-00;0;TCA4448;;Romania;888;1979-00;4,3;1433;  Unknown;9991001;;3,600;250;Pervomaydizelmash (PDM) - Pervomaysk;6;Pervomaysk;6CH25/34-2;340;4;Oil;2;;Turkey;68,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Kuwait Petroleum Corp;Kuwait;44;1992-09;0,000;2014-04-04;1992-10;17,200;;Dentar Denizcilik;5917406;1977-00;Oil Engine(s), Direct Drive;0;Dentar Denizcilik;5917406;0;;;0;8,80;Hopper, Motor;;Drobeta-Turnu Severin;RUM003043;Dentar Denizcilik;5917406;In Service/Commission;  Unknown;9991001;0;1979
8928222;REUSHINKA;;;;;;11,19;11,210;11,190;1985-01;0;UFAN;RS;Romania;1068;1985-01;4,44;1825;  Unknown;9991001;;3,700;180;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD26A-3;260;4;Oil;2;1000;Russia;123,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Kuwait Petroleum Corp;Kuwait;44;1992-09;0,000;2013-07-04;1992-10;17,200;273439450;Techflot Ltd-St Petersburg;5666406;1983-01;Oil Engine(s), Geared Drive;0;Techflot Ltd-St Petersburg;5666406;0;;;0;8,90;Hopper, Motor;;Drobeta-Turnu Severin;RUM003043;Techflot Ltd-St Petersburg;5666406;In Service/Commission;Gidrotekhstroy Ltd;5605413;0;1985
8928258;RADUGA;;;;;;8,01;8,010;0,000;1974-01;0;;;U.S.S.R.;326;1974-01;3,6;482;  Unknown;9991001;;3,120;180;Daldizel - Khabarovsk;6;Daldizel;6CHNSP18/22;220;4;Oil;1;750;Unknown;11,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;ASL Marine Holdings Ltd;Singapore;171;1991-00;0,000;2017-10-27;1992-00;23,070;;Aktau Intl Commercial Sea Port;1740734;1972-01;Oil Engine(s), Geared Drive;0;Aktau Intl Commercial Sea Port;1740734;0;;;0;7,50;Pollution Control Vessel;;Vano Sturua SSZ - USR;USR034046;Aktau Intl Commercial Sea Port;1740734;In Service/Commission;  Unknown;9991001;0;1974
8928569;MAKEDONIA;;;;;;7,70;8,100;7,700;1993-00;0;;;Greece;0;1993-00;4;0;  Unknown;9991001;;2,310;165;MTU Friedrichshafen GmbH - Friedrichshafen;16;M.T.U.;16V396TB83;185;4;Oil;2;2000;Greece;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Asetanian Marine Pte Ltd;Singapore;171;1991-00;0,000;2018-12-31;1992-00;23,070;;Greece Govt Fire Brigade;1740385;1991-00;Oil Engine(s), Geared Drive;0;Greece Govt Fire Brigade;1740385;0;;;0;22,00;Fire Fighting Vessel;;Argo;GRC002357;Greece Govt Fire Brigade;1740385;In Service/Commission;  Unknown;9991001;0;1993
8928583;FAIR LIGHT;;;;;;4,51;4,510;0,000;1993-00;0;SX2036;;Russia;232;1993-00;2,4;0;  Unknown;9991001;;1,670;100;in Russia ;6;;;140;Y;Oil;1;;Greece;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Portugal Govt;Portugal;1200;1992-00;0,000;2019-02-20;1992-00;54,000;;Fairdeal Marine Serv-Fujairah;1575094;1991-00;Oil Engine(s), Direct Drive;0;Odin Maritime Co;1740368;0;;;0;6,00;Pollution Control Vessel;;Azovskaya Sudoverf AO;RUS010033;Fairdeal Group Mgmt SA;1251095;In Service/Commission;Fairdeal Group Mgmt SA;1251095;0;1993
8928595;FAIR STAR;;;;;;4,51;4,510;0,000;1993-00;0;SX2037;;Russia;232;1993-00;2,4;0;  Unknown;9991001;;1,670;100;in Russia ;6;;;140;Y;Oil;1;;Greece;;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Kuwait Govt;Kuwait;158;1992-07;0,000;2019-02-25;1993-04;31,500;;Fairdeal Marine Serv-Fujairah;1575094;1991-00;Oil Engine(s), Direct Drive;0;Odin Maritime Co;1740368;0;;;0;6,00;Pollution Control Vessel;;Azovskaya Sudoverf AO;RUS010033;Fairdeal Group Mgmt SA;1251095;In Service/Commission;Fairdeal Group Mgmt SA;1251095;0;1993
8928636;KALMAR;;;;;;7,58;8,010;7,580;1980-06;0;;RS;U.S.S.R.;326;1980-06;3,6;482;  Unknown;9991001;;3,120;180;Daldizel - Khabarovsk;6;Daldizel;6CHNSP18/22;220;4;Oil;1;750;Russia;11,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Singapore Telecommunications;Singapore;11156;1993-07;0,000;2019-02-07;1994-03;131,400;;Russia Govt Novorossiysk;1744034;1978-06;Oil Engine(s), Geared Drive;0;Krasnodar Kray;1807090;0;;;0;7,50;Pollution Control Vessel;;Vano Sturua SSZ - USR;USR034046;Krasnodar Kray;1807090;In Service/Commission;Russia Govt Novorossiysk;1744034;0;1980
8928648;SLV-170;;;;;;7,58;8,010;7,580;1980-12;0;;RS;U.S.S.R.;326;1980-12;3,6;482;  Unknown;9991001;20201110;3,120;180;Daldizel - Khabarovsk;6;Daldizel;6CHNSP18/22;220;4;Oil;1;750;Russia;11,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Singapore Telecommunications;Singapore;11026;1996-11;0,000;2019-02-07;1997-06;131,400;;Primorsk Transport Co Ltd;5674145;1978-12;Oil Engine(s), Geared Drive;0;Alliance Transit Co Ltd;6018729;0;;;0;7,50;Pollution Control Vessel;;Vano Sturua SSZ - USR;USR034046;Primorsk Transport Co Ltd;5674145;In Service/Commission;  Unknown;9991001;0;1980
