IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
8606587;VLADIMIR PARSHIN;;;;;;10,00;10,020;10,000;1989-06;0;EOHF;VL;Norway;4200;2015-05;9;0;GC Rieber Shipping AS;0782897;20180522;7,100;320;MAN B&W Diesel AG - Augsburg;16;Cummins;;159;4;Oil;2;1600;Korea, South;0,00;0,00;0,00;2,00;Distillate Fuel;Not Applicable;0;  Unknown;;165;;0,000;2017-05-16;;29,930;518415000;Healthy Joy Ltd;5965494;1965-06;Oil Engine(s), Geared Drive;0;Healthy Joy Ltd;5965494;0;;;0;16,00;Research Survey Vessel;;Goa Shipyard Ltd;IND012041;India Govt Navy;0042603;In Service/Commission;  Unknown;9991001;0;2001
6727973;VOGA;;;;;;6,96;6,990;6,960;1967-00;0;9A7288;VL;Germany;6000;2015-03;9,5;0;WesternGeco Fleet Management;1996102;20180306;7,465;320;Wartsila Finland Oy - Finland;16;Caterpillar;3516TA;190;4;Oil;3;1000;Bahamas;0,00;0,00;0,00;2,00;Distillate Fuel;Not Applicable;0;  Unknown;;226;1977-06;0,000;2018-03-09;1978-05;27,460;525000311;Indonesia Govt;0273746;1982-10;Oil Engine(s), Geared Drive;0;Indonesia Govt Min Sea Comms;0180006;0;;;0;16,00;Research Survey Vessel;;Halter Chalmette;USA082261;United States Govt Navy;0550831;In Service/Commission;US Marine Management Inc;5016821;0;1994
9218820;VOGELSAND;;;;;;8,60;0,000;8,600;2001-04;0;DBHI;VL;Spain;0;;8,6;0;;;;5,400;0;Unknown;16;Deutz;SBA16M816;160;4;Oil;2;1800;Denmark (Dis);8,00;0,00;0,00;2,00;Distillate Fuel;Not Applicable;0;Riverside Marine Group;Australia;198;2000-03;0,000;2018-12-27;;23,900;525003672;Elnusa Tbk PT;5460898;1990-10;Oil Engine(s), Electric Drive;0;Elnusa Trans Samudera PT;5889141;0;;;0;16,00;Research Survey Vessel;;Halter Moss Point;USA082180;United States Govt Navy;0550831;Laid-Up;Ocean Shipholdings Inc;0963361;0;1995
9319052;VOYAGER EXPLORER;;;;;;16,00;0,000;16,000;2005-12;0;YBQV2;VL;Spain;6000;2017-03;6,4;0;  Unknown;9991001;20200321;6,000;170;Caterpillar Inc - USA;16;G.M. (Detroit Diesel);16V-71-N;127;2;Oil;2;1800;Korea, South;0,00;0,00;0,00;2,40;Distillate Fuel;Not Applicable;0;EGS Group;United Kingdom;138;1973-12;0,000;2019-01-28;1974-05;24,400;525006060;Seascape Surveys Indonesia PT;5570885;1980-02;Oil Engine(s), Geared Drive;0;Seascape Surveys Indonesia PT;5570885;0;;;90;16,00;Research Survey Vessel;;Halter Moss Point;USA082180;United States Govt Navy;0550831;In Service/Commission;US Marine Management Inc;5016821;0;1996
9024528;VT 023;;;;;;6,20;6,500;6,200;2002-11;0;;VL;Germany;1816;;6,9;0;;;;5,200;200;Wartsila Finland Oy - Finland;16;Caterpillar;3516TA;190;4;Oil;2;1800;United States Of America;0,00;0,00;0,00;2,50;Distillate Fuel;Not Applicable;0;China National Offshore Oil;China, People's Republic Of;704;1976-07;0,000;2018-10-25;1979-03;49,610;525015299;Balai Teknologi Survei;5188098;1984-03;Oil Engine(s), Geared Drive;0;Balai Teknologi Survei;5188098;0;;;0;16,00;Research Survey Vessel;;Freire Vigo;SPN034017;NMF - Sea Systems;5267922;In Service/Commission;NMF - Sea Systems;5267922;0;2013
7642778;VULKANOLOG;;;;;;9,53;9,530;0,000;1976-03;0;;VL;Spain;0;;6,05;0;;;;0,000;200;Unknown;16;G.M. (Detroit Diesel);16V-149;146;2;Oil;2;;India;400,00;0,00;0,00;2,50;Distillate Fuel;Not Applicable;0;Nigeria Govt;Nigeria;714;1981-09;0,000;2011-11-30;1982-03;50,020;525015307;Pusat Penelitian Dan;1412551;2006-01;Oil Engine(s), Geared Drive;0;Pusat Penelitian Dan;1412551;0;;;0;16,00;Research Survey Vessel;;Mitsubishi Nagasaki;JPN421311;PGS Geophysical AS;5139718;In Service/Commission;PGS Geophysical AS;5139718;0;2014
9538115;VYACHESLAV TIKHONOV;;;;;;17,00;0,000;17,000;2011-08;0;UBSH6;VL;United Arab Emirates;4450;2010-08;9;0;Polarcus DMCC;4141384;20180510;7,512;260;Wartsila Finland Oy - Finland;16;Caterpillar;D399SCAC;203;4;Oil;2;1200;Togo;0,00;0,00;0,00;2,90;Distillate Fuel;Not Applicable;0;Russia Govt Hydrographic Dept;Russia;402;2003-01;0,000;2012-03-27;;46,500;525015310;Indonesia Govt BPTT;1375360;1984-03;Oil Engine(s), Geared Drive;0;Indonesia Govt BPTT;1375360;0;;;0;16,00;Research Survey Vessel;;Mitsubishi Nagasaki;JPN421311;PGS Geophysical AS;5139718;In Service/Commission;PGS Geophysical AS;5139718;0;2016
8534954;W. T. HOGARTH;;;;;;7,92;0,000;7,920;2017-11;0;WDJ7764;VL;United Arab Emirates;4450;2011-03;9;0;Polarcus DMCC;4141384;20190205;7,512;260;Wartsila Finland Oy - Finland;16;Caterpillar;D399TA;203;4;Oil;2;;United States Of America;0,00;0,00;0,00;3,00;Yes, But Type Not Known;Not Applicable;0;Dammers Shipagencies Inc;Curacao;473;1977-07;0,000;2018-05-14;1978-02;40,160;525015785;Bahtera Niaga Internasional PT;5295987;1979-06;Oil Engine(s), Geared Drive;0;Surya Mega Gemilang PT;5598469;0;;;0;16,00;Research Survey Vessel;;Mitsubishi Nagasaki;JPN421311;PGS Geophysical AS;5139718;In Service/Commission;PGS Geophysical AS;5139718;0;2017
9840207;WADDENSTROOM;;;;;;10,20;10,280;10,200;2019-03;0;PDLH;VL;Korea, South;3865;2011-09;21;0;Hilong Geophysical Co Ltd;5201409;20190329;7,315;320;Rolls-Royce Marine AS - Norway;16;G.M. (Detroit Diesel);16V-149;146;2;Oil;2;;United States Of America;34,50;0,00;0,00;3,40;Distillate Fuel;Not Applicable;0;Washington University;United States Of America;168;2001-12;0,000;2019-01-07;;22,000;525015926;Swire Pacific Offshore;0568452;2008-12;Oil Engine(s), Geared Drive;0;Altus Swire Shipping PT;5655300;0;;;1017;16,00;Research Survey Vessel;;Wuchang Shipbuilding Industry;CHR224044;COMRA;6078228;Launched;COMRA;6078228;0;2019
9093842;WARAO;;;;;;6,30;0,000;6,300;1970-01;0;;VL;Germany;552;2010-03;6,7;1851;Fugro Marine Services BV;5312062;20120911;4,200;170;Unknown;16;Caterpillar;D399SCAC;203;4;Oil;2;1200;Panama;0,00;0,00;0,00;3,50;Distillate Fuel;Not Applicable;0;  Unknown;;343;1966-06;0,000;2018-10-18;;38,970;525019621;EGS Bahari PT;5722124;1966-00;Oil Engine(s), Direct Drive;0;EGS Bahari PT;5722124;0;;;0;16,00;Research Survey Vessel;;Wuchang Shipbuilding Industry;CHR224044;COMRA;6078228;Launched;COMRA;6078228;0;2019
