IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Control;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
9129598;ARK FUTURA;CATERPILLAR;CATERPILLAR;3512TA;4;1110;25,20;25,230;25,200;1996-05;10;OZZE2;LR;Italy;13500;1996-05;15,7;0;DFDS A/S;0310102;20190303;7,350;580;MAN B&W Diesel A/S - Denmark;8;MAN;8L58/64;640;4;Oil;1;428;Denmark (Dis);129,00;1395,00;0,00;35,00;Distillate Fuel;Residual Fuel;0;DFDS A/S;Denmark;18725;1995-04;39,600;2018-12-28;1995-10;183,270;219927000;DFDS A/S;0310102;1995-00;Oil Engine(s), Geared Drive;50;DFDS Logistics Rederi AS;0371510;0;1995-08-01;$43500000;0;19,70;Ro-Ro Cargo Ship;Ro-ro cargo 2,000-2,999 LM;Visentini Cantiere Navale Srl;ITL068060;DFDS A/S;0310102;In Service/Commission;DFDS A/S;0310102;900;1996
9129706;FREEDOM;B&W;B&W;7L23/30H;4;858;32,26;32,280;32,260;1997-03;0;WDB5483;AB;Japan;19884;1997-03;31,4;35127;American Roll-on Roll-off;5074871;20200321;10,202;620;Diesel United Ltd. - Aioi;6;Sulzer;6RTA62U;2150;2;Oil;1;109;United States Of America;186,00;2342,00;45,90;53,05;Distillate Fuel;Residual Fuel;0;TOTE Inc;United States Of America;49821;1996-08;0,000;2019-02-25;1996-11;190,490;369327000;American Roll-on Roll-off;5074871;1996-00;Oil Engine(s), Direct Drive;0;Freedom Trust;5199115;0;;;7372;18,80;Vehicles Carrier;PCC/PCTC => 4,000 cars;Sumitomo Hi Oppama;JPN042198;American Roll-on Roll-off;5074871;In Service/Commission;TOTE Services LLC;0358837;0;1997
9130315;PERMATA LESTARI I;;;;;;13,00;0,000;13,000;1995-10;0;PNWW;KI;Singapore;498;1995-10;3,3;0;  Unknown;9991001;;2,400;230;Matsui Iron Works Co Ltd - Japan;3;Matsui;MU323DGSC;380;4;Oil;2;;Indonesia;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;;360;1995-06;0,000;2018-11-15;1995-09;42,100;;Atosim Lampung Pelayaran PT;5273254;1993-10;Oil Engine(s), Direct Drive;0;Atosim Lampung Pelayaran PT;5273254;0;;;0;9,50;Landing Craft;;ASL Shipyard Pte Ltd;SNG073050;Atosim Lampung Pelayaran PT;5273254;In Service/Commission;  Unknown;9991001;0;1995
9130937;GRANDE AMERICA;Sulzer;Sulzer;8S20;4;1276;32,25;32,280;32,250;1997-12;6;IBPG;RI;Italy;27965;1997-12;12;44296;Grimaldi Deep Sea SpA;1468950;;9,700;620;Fincantieri - Cantieri Navali Italiani SpA - Italy;7;Sulzer;7RTA62U;2150;2;Oil;1;113;Italy;365,00;3300,00;0,00;58,00;Distillate Fuel;Residual Fuel;0;Grimaldi Group SpA;Italy;56642;1996-05;55,000;2018-12-17;1997-07;213,880;247594000;Grimaldi Group SpA;0213721;1995-07;Oil Engine(s), Direct Drive;40;Grimaldi Deep Sea SpA;1468950;0;;;17540;16,20;Ro-Ro Cargo Ship;Ro-ro cargo =>3,000 LM;Fincantieri Palermo;ITL024131;Grimaldi Group SpA;0213721;In Service/Commission;Grimaldi Deep Sea SpA;1468950;1321;1997
9130949;GRANDE AFRICA;Sulzer;Sulzer;8S20;4;1276;32,25;32,280;32,250;1998-10;6;ZDJO3;RI;Italy;27965;1998-10;12;44700;Grimaldi Group SpA;0213721;;9,700;620;Wartsila NSD Italia SpA - Italy;7;Sulzer;7RTA62U;2150;2;Oil;1;113;Gibraltar;365,00;3300,00;0,00;58,00;Distillate Fuel;Residual Fuel;0;Grimaldi Group SpA;Italy;56642;1995-12;55,000;2019-01-30;1998-07;214,000;236542000;Grimaldi Group SpA;0213721;1995-00;Oil Engine(s), Direct Drive;40;ACL Invest AB;5013597;0;;;17540;16,20;Ro-Ro Cargo Ship;Ro-ro cargo =>3,000 LM;Fincantieri Palermo;ITL024131;Grimaldi Group SpA;0213721;In Service/Commission;Grimaldi Group SpA;0213721;1321;1998
9130951;GRANDE ATLANTICO;Sulzer;Sulzer;8S20;4;1276;32,25;32,280;32,250;1999-07;6;ZDJO5;RI;Italy;27965;1999-07;12,87;44700;Grimaldi Group SpA;0213721;20170815;9,700;620;Wartsila NSD Italia SpA - Italy;7;Sulzer;7RTA62U;2150;2;Oil;1;113;Gibraltar;365,00;3300,00;0,00;58,00;Distillate Fuel;Residual Fuel;0;Grimaldi Group SpA;Italy;56642;1996-07;55,000;2018-11-16;1999-04;213,900;236544000;Grimaldi Group SpA;0213721;1995-00;Oil Engine(s), Direct Drive;40;ACL Invest AB;5013597;0;;;17540;16,20;Ro-Ro Cargo Ship;Ro-ro cargo =>3,000 LM;Fincantieri Palermo;ITL024131;Grimaldi Group SpA;0213721;In Service/Commission;Grimaldi Group SpA;0213721;1321;1999
9131515;EUROCARGO TRIESTE;B&W;B&W;6L28/32H;4;1300;25,20;0,000;25,200;1997-12;0;9HA3276;RI;Italy;12488;1997-12;17;0;Valiant Shipping SA;1679101;20180707;7,700;580;MAN B&W Diesel AG - Augsburg;9;MAN;9L58/64;640;4;Oil;2;428;Malta;60,00;1400,00;104,00;110,00;Distillate Fuel;Residual Fuel;0;Grimaldi Group SpA;Italy;26536;1997-01;0,000;2019-02-07;1997-08;185,000;229369000;Grimaldi Group SpA;0213721;1995-00;Oil Engine(s), Geared Drive;0;Malta Motorways of the Sea Ltd;5202526;0;;;0;18,00;Ro-Ro Cargo Ship;Ro-ro cargo =>3,000 LM;Fincantieri Ancona;ITL024158;Valiant Shipping SA;1679101;In Service/Commission;Valiant Shipping SA;1679101;0;1997
9131527;EUROCARGO PATRASSO;B&W;B&W;6L28/32H;4;1300;25,20;0,000;25,200;1998-04;0;9HA3275;RI;Italy;11600;1998-04;17;0;Valiant Shipping SA;1679101;20180727;7,700;580;MAN B&W Diesel AG - Augsburg;9;MAN;9L58/64;640;4;Oil;2;428;Malta;60,00;1400,00;103,00;105,00;Distillate Fuel;Residual Fuel;0;Grimaldi Group SpA;Italy;26536;1997-08;0,000;2019-02-22;1998-00;185,000;229368000;Grimaldi Group SpA;0213721;1995-00;Oil Engine(s), Geared Drive;0;Malta Motorways of the Sea Ltd;5202526;0;;;0;18,00;Ro-Ro Cargo Ship;Ro-ro cargo =>3,000 LM;Fincantieri Ancona;ITL024158;Valiant Shipping SA;1679101;In Service/Commission;Valiant Shipping SA;1679101;0;1998
9131943;AUTOPREMIER;CUMMINS;CUMMINS;KTA-38-M;4;772;18,80;18,820;18,800;1997-05;0;CQQD;LR;Netherlands;4443;1997-05;15,27;0;UECC Grimsby Ltd;3001660;20200119;6,213;320;Wartsila Propulsion AS - Norway;12;Wartsila;12V32E;350;4;Oil;2;750;Portugal (Mar);112,00;695,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;UECC;Japan;11591;1996-05;39,700;2019-02-07;1997-02;126,900;255801550;UECC;5416192;1995-00;Oil Engine(s), Geared Drive;0;Ugland Auto I AS;5916907;0;;;0;20,00;Vehicles Carrier;PCC/PCTC 1,000-1,499 cars;Frisian;NTH268067;UECC Unipessoal Lda;5062675;In Service/Commission;UECC Grimsby Ltd;3001660;0;1997
9131955;AUTOPRIDE;CUMMINS;CUMMINS;KTA-38-M;4;772;18,80;18,820;18,800;1997-10;0;CQQE;LR;Netherlands;4442;1997-10;15,27;0;UECC Grimsby Ltd;3001660;20200901;6,213;320;Wartsila Diesel Oy - Finland;12;Wartsila;12V32E;350;4;Oil;2;750;Portugal (Mar);112,00;695,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;UECC;Japan;11591;1995-12;39,700;2019-02-07;1997-06;126,900;255801560;UECC;5416192;1995-00;Oil Engine(s), Geared Drive;0;Ugland Auto I AS;5916907;0;;;0;20,00;Vehicles Carrier;PCC/PCTC 1,000-1,499 cars;Frisian;NTH268067;UECC Unipessoal Lda;5062675;In Service/Commission;UECC Grimsby Ltd;3001660;0;1997
